alias_id,variant_id,old_variant_id,historical_product_title,historical_variant_title,historical_sku,match_method,is_current_id,source,notes
3734,41318440927307,41318440927307,E H Taylor Straight Rye,750ML,,Current title + variant,1,current_variant_master,
3761,41394307825739,41394307825739,Angel's Envy Cask Strength Port Wine Finished Bourbon,750ML,,Current title + variant,1,current_variant_master,
3766,41420628361291,41420628361291,G4 Tequila Blanco de Madera,750ML,,Current title + variant,1,current_variant_master,
3770,41442028945483,41442028945483,Found North Batch 012 - 16 Year Cask Strength Whisky,750ML,,Current title + variant,1,current_variant_master,
3786,41477343805515,41477343805515,Dailys Pouches Margarita,10Oz,,Current title + variant,1,current_variant_master,
3795,41490606981195,41490606981195,Jefferson's Straight Rye,750ML,,Current title + variant,1,current_variant_master,
3803,41524970389579,41524970389579,Remus Babe Ruth Reserve Bourbon,750ML,,Current title + variant,1,current_variant_master,
3804,41525160214603,41525160214603,Spritz Del Conte Vermouth,750ML,,Current title + variant,1,current_variant_master,
3834,41669299863627,41669299863627,Wild Common Reposado Tequila,750ML,,Current title + variant,1,current_variant_master,
3851,41702719520843,41702719520843,Dutch Barn Orchard Vodka,700ML,,Current title + variant,1,current_variant_master,
3872,41716807761995,41716807761995,'-196 Green Tea Zero Sugar Variety Pack,8pk-12oz Cans,,Current title + variant,1,current_variant_master,
3882,41716809269323,41716809269323,High Noon Kiwi,4pk-12oz Cans,,Current title + variant,1,current_variant_master,
3885,41716809498699,41716809498699,High Noon Pear,4pk-12oz Cans,,Current title + variant,1,current_variant_master,
3886,41716809597003,41716809597003,High Noon Watermelon,4pk-12oz Cans,,Current title + variant,1,current_variant_master,
3897,41716810580043,41716810580043,High Noon Variety,12pk-12oz Cans,3004690,Current title + variant,1,current_variant_master,
3899,41716810842187,41716810842187,High Noon Pineapple,4pk-12oz Cans,3002911,Current title + variant,1,current_variant_master,
3900,41716810874955,41716810874955,High Noon Peach,4pk-12oz Cans,3005353,Current title + variant,1,current_variant_master,
3901,41716810907723,41716810907723,High Noon Passion Fruit,4pk-12oz Cans,3007472,Current title + variant,1,current_variant_master,
3902,41716810940491,41716810940491,High Noon Mango,4pk-12oz Cans,3007471,Current title + variant,1,current_variant_master,
3903,41716812939339,41716812939339,High Noon Lime,4pk-12oz Cans,3005352,Current title + variant,1,current_variant_master,
3904,41716812972107,41716812972107,High Noon Lemon,4pk-12oz Cans,3010387,Current title + variant,1,current_variant_master,
3905,41716813004875,41716813004875,High Noon Grapefruit,4pk-12oz Cans,3002910,Current title + variant,1,current_variant_master,
3906,41716813037643,41716813037643,High Noon Black Cherry,4pk-12oz Cans,3002909,Current title + variant,1,current_variant_master,
3907,41716813103179,41716813103179,Fishers Island Lemonade 8 Pack,8pk-12oz Cans,3012839,Current title + variant,1,current_variant_master,
3908,41716813135947,41716813135947,loyal nine cocktails margarita,4pk-12oz Cans,,Current title + variant,1,current_variant_master,
3911,41716813234251,41716813234251,Loyal 9 Cocktails Classic Lemonade,4pk-12oz Cans,,Current title + variant,1,current_variant_master,
3934,41716814184523,41716814184523,Lake Hour Variety Pack,8pk-12oz Cans,,Current title + variant,1,current_variant_master,
3959,41799066157131,41799066157131,RumChata Pumpkin Spice Liqueur,750ML,,Current title + variant,1,current_variant_master,
3994,41955964387403,41955964387403,Angel Margarita Variety Pack,8pk-200ML Cans,,Current title + variant,1,current_variant_master,
4074,42409624862795,42409624862795,Espolon Extra Anejo,750ML,,Current title + variant,1,current_variant_master,
4076,42502523060299,42502523060299,High Noon Tangerine,4pk-12oz Cans,,Current title + variant,1,current_variant_master,
4077,42502664749131,42502664749131,Glenfiddich 14Yrs Bourbon Barrel,375ML,,Current title + variant,1,current_variant_master,
4082,42636109414475,42636109414475,Smoke Lab Aniseed Vodka,750ML,,Current title + variant,1,current_variant_master,
4084,42637302071371,42637302071371,Drop of Sunshine Chardonnay,750ML,,Current title + variant,1,current_variant_master,
4085,42637319798859,42637319798859,Drop of Sunshine Sparkling Rose,750ML,,Current title + variant,1,current_variant_master,
4087,42671537684555,42671537684555,Bar Water Vodka Blueberry,1L,,Current title + variant,1,current_variant_master,
4088,42692858937419,42692858937419,Minute Maid Spiked Lime Margherita,4pk-200ML Cans,,Current title + variant,1,current_variant_master,
4089,42692859527243,42692859527243,Minute Maid Spiked Vodka Punch Variety,8pk-12oz Cans,,Current title + variant,1,current_variant_master,
4097,42714461962315,42714461962315,Beyond Distilling Coconut Rum,750ML,,Current title + variant,1,current_variant_master,
4100,42733676789835,42733676789835,Crown Royal Blackberry,375ML,,Current title + variant,1,current_variant_master,
4101,42733947945035,42733947945035,Codigo 1530 Tequila Blanco,750ML,,Current title + variant,1,current_variant_master,
4103,42762587897931,42762587897931,'-196 Vodka Seltzer,8pk-12oz Cans,,Current title + variant,1,current_variant_master,
4104,42762590224459,42762590224459,'-196 strawberry vodka seltzer,4pk-12oz Cans,,Current title + variant,1,current_variant_master,
4105,42813874307147,42813874307147,Bib & Tucker Gold Roast 6 Year Old Bourbon,750ML,,Current title + variant,1,current_variant_master,
4109,42893270319179,42893270319179,Disaronno Velvet Liqueur,750ML,,Current title + variant,1,current_variant_master,
4110,42893422493771,42893422493771,Chivas Regal Blended Scotch 12 YR,375ML,,Current title + variant,1,current_variant_master,
4111,42913365098571,42913365098571,Recipe 21 Tequila,1.75L,,Current title + variant,1,current_variant_master,
4112,42913365229643,42913365229643,Casamigos Spicy Margarita,750ML,,Current title + variant,1,current_variant_master,
4113,42913365327947,42913365327947,Casamigos Classic Lime Margarita,750ML,,Current title + variant,1,current_variant_master,
4114,42913365819467,42913365819467,Ryan's Irish Style Cream Liqueur,1.75L,,Current title + variant,1,current_variant_master,
4115,42913366376523,42913366376523,Martini & Rossi Asti,750ML,,Current title + variant,1,current_variant_master,
4116,42913366409291,42913366409291,Martini & Rossi Asti,1.5L,,Current title + variant,1,current_variant_master,
4117,42913366868043,42913366868043,Parrot Bay Coconut,1L,,Current title + variant,1,current_variant_master,
4118,42913366900811,42913366900811,Parrot Bay Coconut,1.75L,,Current title + variant,1,current_variant_master,
4119,42913367130187,42913367130187,On The Rocks Lemon Drop Martini,375ML,,Current title + variant,1,current_variant_master,
4120,42913367326795,42913367326795,Fireball Blazin Apple Whisky,750ML,,Current title + variant,1,current_variant_master,
4121,42913368440907,42913368440907,Anza Silver Tequila,1L,,Current title + variant,1,current_variant_master,
4123,42913368637515,42913368637515,Barefoot Merlot,750ML,,Current title + variant,1,current_variant_master,
4124,42913368670283,42913368670283,Barefoot Merlot,1.5L,,Current title + variant,1,current_variant_master,
4125,42913368735819,42913368735819,Barefoot White Zinfandel,187ML,,Current title + variant,1,current_variant_master,
4127,42913370767435,42913370767435,Benedictine B&b Brandy Liqueur,750ML,,Current title + variant,1,current_variant_master,
4128,42913370865739,42913370865739,Baileys Cookies & Creamy Liqueur,750ML,,Current title + variant,1,current_variant_master,
4129,42913370931275,42913370931275,Baileys Coffee Toffee Cream Liqueur,750ML,,Current title + variant,1,current_variant_master,
4131,42913371390027,42913371390027,Deep Eddy Pineapple,50ML,,Current title + variant,1,current_variant_master,
4132,42913371586635,42913371586635,La Vieille Ferme Rose,3L,,Current title + variant,1,current_variant_master,
4135,42913372176459,42913372176459,Crown Royal Blackberry,750ML,,Current title + variant,1,current_variant_master,
4136,42913372602443,42913372602443,Di Amore Sambuca,375ML,,Current title + variant,1,current_variant_master,
4137,42913372831819,42913372831819,Mi Campo Reposado Tequila,750ML,,Current title + variant,1,current_variant_master,
4138,42913372897355,42913372897355,Mi Campo Blanco Tequila,750ML,,Current title + variant,1,current_variant_master,
4139,42913373028427,42913373028427,Grey Goose L'Orange Vodka,1L,,Current title + variant,1,current_variant_master,
4140,42913373126731,42913373126731,Black Velvet,750ML,,Current title + variant,1,current_variant_master,
4144,42913373749323,42913373749323,On The Rocks Espresso Martini,375ML,,Current title + variant,1,current_variant_master,
4145,42913373847627,42913373847627,On The Rocks Cosmopolitan,375ML,,Current title + variant,1,current_variant_master,
4146,42913374044235,42913374044235,Beefeater London Dry Gin,1.75L,,Current title + variant,1,current_variant_master,
4147,42913374109771,42913374109771,Appleton Estate Signature Blend Rum,750ML,,Current title + variant,1,current_variant_master,
4148,42913374470219,42913374470219,Buffalo Trace Bourbon,750ML,,Current title + variant,1,current_variant_master,
4149,42913374732363,42913374732363,Cupcake Prosecco,187ML,,Current title + variant,1,current_variant_master,
4150,42913374928971,42913374928971,Tanqueray London Dry Gin,1L,637122,Current title + variant,1,current_variant_master,
4151,42913374961739,42913374961739,Tanqueray London Dry Gin,1.75L,637123,Current title + variant,1,current_variant_master,
4152,42913375027275,42913375027275,Pinnacle Vodka,750ML,984756,Current title + variant,1,current_variant_master,
4153,42913375060043,42913375060043,Pinnacle Vodka,375ML,984754,Current title + variant,1,current_variant_master,
4154,42913375092811,42913375092811,Pinnacle Vodka,1.75L,,Current title + variant,1,current_variant_master,
4155,42913375223883,42913375223883,Martini & Rossi Vermouth Rosso,375ML,442533,Current title + variant,1,current_variant_master,
4156,42913375289419,42913375289419,Martini & Rossi Vermouth Extra Dry,375ML,,Current title + variant,1,current_variant_master,
4157,42913375322187,42913375322187,Malibu Coconut Flavored Rum,1L,33451,Current title + variant,1,current_variant_master,
4158,42913375354955,42913375354955,Malibu Coconut Flavored Rum,750ML,33452,Current title + variant,1,current_variant_master,
4159,42913375387723,42913375387723,Malibu Coconut Flavored Rum,375ML,67449,Current title + variant,1,current_variant_master,
4160,42913375420491,42913375420491,Malibu Coconut Flavored Rum,50ML,185864,Current title + variant,1,current_variant_master,
4161,42913375584331,42913375584331,Kahlua Coffee Liqueur,750ML,93175,Current title + variant,1,current_variant_master,
4162,42913375617099,42913375617099,Kahlua Coffee Liqueur,375ML,93176,Current title + variant,1,current_variant_master,
4163,42913375649867,42913375649867,Kahlua Coffee Liqueur,50ML,617068,Current title + variant,1,current_variant_master,
4164,42913375715403,42913375715403,J&B Blended Scotch,1L,18676,Current title + variant,1,current_variant_master,
4165,42913375748171,42913375748171,J&B Blended Scotch,750ML,336660,Current title + variant,1,current_variant_master,
4167,42913375879243,42913375879243,Gilbey's London Dry Gin,1L,18043,Current title + variant,1,current_variant_master,
4168,42913375912011,42913375912011,Gilbey's London Dry Gin,750ML,18039,Current title + variant,1,current_variant_master,
4169,42913375944779,42913375944779,Gilbey's London Dry Gin,375ML,202244,Current title + variant,1,current_variant_master,
4170,42913376043083,42913376043083,Chivas Regal Blended Scotch 12 YR,1L,19075,Current title + variant,1,current_variant_master,
4171,42913376075851,42913376075851,Chivas Regal Blended Scotch 12 YR,1.75L,19877,Current title + variant,1,current_variant_master,
4172,42913376141387,42913376141387,Aviation American Gin,1L,898687,Current title + variant,1,current_variant_master,
4174,42913376403531,42913376403531,Bags/Accessories,Double / Single Christmas,,Current title + variant,1,current_variant_master,
4175,42913376436299,42913376436299,Bags/Accessories,Christmas Boots,,Current title + variant,1,current_variant_master,
4176,42913376469067,42913376469067,Bags/Accessories,Jute Bag,,Current title + variant,1,current_variant_master,
4177,42913376501835,42913376501835,Bags/Accessories,Wine Vacuum Stopper,,Current title + variant,1,current_variant_master,
4178,42913376534603,42913376534603,Bags/Accessories,Cork Screw,,Current title + variant,1,current_variant_master,
4179,42913376567371,42913376567371,Bags/Accessories,Wine Stopper,,Current title + variant,1,current_variant_master,
4180,42913376600139,42913376600139,Bags/Accessories,Champagne Stopper,,Current title + variant,1,current_variant_master,
4181,42913376665675,42913376665675,Buffalo House Gift Card,20,,Current title + variant,1,current_variant_master,
4182,42913376698443,42913376698443,Buffalo House Gift Card,25,,Current title + variant,1,current_variant_master,
4183,42913376731211,42913376731211,Buffalo House Gift Card,50,,Current title + variant,1,current_variant_master,
4184,42913376763979,42913376763979,Buffalo House Gift Card,100,,Current title + variant,1,current_variant_master,
4185,42913376796747,42913376796747,Buffalo House Gift Card,200,,Current title + variant,1,current_variant_master,
4186,42913376829515,42913376829515,Buffalo House Gift Card,250,,Current title + variant,1,current_variant_master,
4187,42913376862283,42913376862283,Buffalo House Gift Card,500,,Current title + variant,1,current_variant_master,
4188,42913377189963,42913377189963,Hennessy VS Cognac,1L,9002487,Current title + variant,1,current_variant_master,
4189,42913377222731,42913377222731,Hennessy VS Cognac,750ML,9002496,Current title + variant,1,current_variant_master,
4190,42913377255499,42913377255499,Hennessy VS Cognac,375ML,9086999,Current title + variant,1,current_variant_master,
4191,42913377288267,42913377288267,Hennessy VS Cognac,200ML,9153056,Current title + variant,1,current_variant_master,
4192,42913377321035,42913377321035,Hennessy VS Cognac,100ML,9002486,Current title + variant,1,current_variant_master,
4193,42913377353803,42913377353803,Hennessy VS Cognac,50ML,9002495,Current title + variant,1,current_variant_master,
4194,42913377419339,42913377419339,Hennessy VSOP,1L,9154013,Current title + variant,1,current_variant_master,
4195,42913377452107,42913377452107,Hennessy VSOP,750ML,9002497,Current title + variant,1,current_variant_master,
4196,42913377484875,42913377484875,Hennessy VSOP,375ML,9043253,Current title + variant,1,current_variant_master,
4197,42913377517643,42913377517643,Hennessy VSOP,200ML,9011399,Current title + variant,1,current_variant_master,
4198,42913378041931,42913378041931,Grand Marnier Cordon Rouge,750ML,561761,Current title + variant,1,current_variant_master,
4199,42913378205771,42913378205771,Bulleit Rye,1L,,Current title + variant,1,current_variant_master,
4200,42913378369611,42913378369611,Bacardi Tropical,1L,,Current title + variant,1,current_variant_master,
4201,42913378435147,42913378435147,Barefoot Moscato,750ML,,Current title + variant,1,current_variant_master,
4203,42913378697291,42913378697291,Woodford Reserve Straight Bourbon,375ML,9000272,Current title + variant,1,current_variant_master,
4204,42913378730059,42913378730059,Woodford Reserve Straight Bourbon,1L,21733,Current title + variant,1,current_variant_master,
4205,42913378762827,42913378762827,Woodford Reserve Straight Bourbon,750ML,9180882,Current title + variant,1,current_variant_master,
4206,42913378828363,42913378828363,Van Gogh Double Espresso Vodka,1L,3010139,Current title + variant,1,current_variant_master,
4207,42913378926667,42913378926667,Van Gogh Acai Blueberry Vodka,750ML,3010133,Current title + variant,1,current_variant_master,
4208,42913379057739,42913379057739,Stolichnaya Vodka,750ML,65144,Current title + variant,1,current_variant_master,
4209,42913379090507,42913379090507,Stolichnaya Vodka,1L,65136,Current title + variant,1,current_variant_master,
4210,42913379123275,42913379123275,Stolichnaya Vodka,1.75L,65128,Current title + variant,1,current_variant_master,
4211,42913379254347,42913379254347,Stolichnaya Razberi,1L,9121556,Current title + variant,1,current_variant_master,
4212,42913379319883,42913379319883,Stolichnaya Ohranj,1L,9121606,Current title + variant,1,current_variant_master,
4213,42913379549259,42913379549259,Sobieski Vodka,200ML,9090672,Current title + variant,1,current_variant_master,
4214,42913379582027,42913379582027,Sobieski Vodka,375ML,9090671,Current title + variant,1,current_variant_master,
4216,42913379647563,42913379647563,Sobieski Vodka,1L,9090619,Current title + variant,1,current_variant_master,
4217,42913379680331,42913379680331,Sobieski Vodka,1.75L,9096040,Current title + variant,1,current_variant_master,
4218,42913379844171,42913379844171,Shanky's Whip Black Smooth Irish Liqueur,1L,3014138,Current title + variant,1,current_variant_master,
4220,42913380696139,42913380696139,Korbel California Champagne Brut,750ML,9013532,Current title + variant,1,current_variant_master,
4221,42913380728907,42913380728907,Korbel California Champagne Brut,187ML,,Current title + variant,1,current_variant_master,
